Title,First name,Last name,Gender,Date of birth,Marital status,Email,Phone number,Building,Street,City,County,Country,Postcode,Join date,Join with,Previous P45 taxcode,Previous P45 leftdate,Previous P45 period,Previous P45 totalpay,Previous P45 totaltax,Join statement without P45 (Value should be:- First Job/Only Job/Other Job ),Pension statement,Pension occupation amount,Pension paid to civil partner,Secondment statement,European economic area,EPM6 modified scheme,NI number,NI category,Taxcode,W1M1 basis,Pay frequency,Gross pay,Payment mode,Bank name,Sort code,Account number,Off payroll worker,Non individual,Director,Dir NI method,Dir appointment date,Dir resigne date,Student loan,Student loan start,Student loan plan,Postgraduate loan,Postgraduate loan date,Leaving date
,Taylor,Hill,Male,1955-03-24,Notset,,,57,Boughton Rd,WICK,,United Kingdom,BN17 5YJ,2026-04-06,Existing employee,,,,,,First Job,,,,,,,AB124557C,A,1257L,No,Monthly,3500.00,Other,,,,No,No,No,,,,Yes,2026-04-06,Plan4,Yes,2026-04-06,,
,Tristan,Hill,Male,1978-05-06,Notset,,,99,Spilman Street,GRAFTON,,United Kingdom,HR6 0PG,2026-04-06,Existing employee,,,,,,First Job,,,,,,,AB124557C,A,1257L,No,Monthly,3500.00,Other,,,,No,No,No,,,,Yes,2026-04-06,Plan4,Yes,2026-04-06,,
,Zain,Marshall,Male,1975-02-23,Notset,,,1,Prince Consort,KELSTEDGE,,United Kingdom,S45 2FT,2026-04-06,Existing employee,,,,,,First Job,,,,,,,AB124557C,A,1257L,No,Monthly,3500.00,Other,,,,No,No,No,,,,Yes,2026-04-06,Plan4,Yes,2026-04-06,,
,Theodore,Kerr,Male,1941-06-20,Notset,,,21,Northgate Street,BIDDENHAM,,United Kingdom,MK40 2AR,2026-04-06,Existing employee,,,,,,First Job,,,,,,,AB124557C,A,1257L,No,Monthly,3500.00,Other,,,,No,No,No,,,,Yes,2026-04-06,Plan4,Yes,2026-04-06,,
,Tomasz,Stevenson,Male,1943-06-07,Notset,,,89,Sea Road,LAMANCHA,,United Kingdom,EH46 4SZ,2026-04-06,Existing employee,,,,,,First Job,,,,,,,AB124557C,A,1257L,No,Monthly,3500.00,Other,,,,No,No,No,,,,Yes,2026-04-06,Plan4,Yes,2026-04-06,,
Mr,Dec,Boyle,Male,2001-06-05,Single,,,142,Kingsway,Dundee,,Scotland,DD2 3LH,2024-05-13,New starter with form P45,1257L,2024-01-15,31 Month(s),6420.00,384.00,First Job,,,,,,,,A,1257L,No,Monthly,2900.00,Other,,,,No,No,No,,,,No,,,No,,,
,Calvin,Campbell,Male,1970-03-16,Notset,,,92,Hart Road,NORTON,,United Kingdom,SY4 5YJ,2026-04-06,Existing employee,,,,,,First Job,,,,,,,AB124557C,A,1257L,No,Monthly,3500.00,Other,,,,No,No,No,,,,Yes,2026-04-06,Plan4,Yes,2026-04-06,,
,Arlo,Black,Male,1957-01-05,Notset,,,32,Boar Lane,SEXHOW,,United Kingdom,TS15 8TF,2026-04-06,Existing employee,,,,,,First Job,,,,,,,AB124557C,A,1257L,No,Monthly,3500.00,Other,,,,No,No,No,,,,Yes,2026-04-06,Plan4,Yes,2026-04-06,,
,Nairn,Dickson,Male,1950-12-08,Notset,,,78,Hindhead Road,EARSDON MOOR,,United Kingdom,NE61 2BP,2026-04-06,Existing employee,,,,,,First Job,,,,,,,AB124557C,A,1257L,No,Monthly,3500.00,Other,,,,No,No,No,,,,Yes,2026-04-06,Plan4,Yes,2026-04-06,,
,Arran,Kerr,Male,2007-04-13,Notset,,,78,Abbey Row,NYTON,,United Kingdom,PO20 6XZ,2026-04-06,Existing employee,,,,,,First Job,,,,,,,AB124557C,A,1257L,No,Monthly,3500.00,Other,,,,No,No,No,,,,Yes,2026-04-06,Plan4,Yes,2026-04-06,,
,Grant,Muir,Male,1966-11-08,Notset,,,45,Main Road,AUCHENMALG,,United Kingdom,DG8 0GD,2026-04-06,Existing employee,,,,,,First Job,,,,,,,AB124557C,A,1257L,No,Monthly,3500.00,Other,,,,No,No,No,,,,Yes,2026-04-06,Plan4,Yes,2026-04-06,,
,Ruaridh,Findlay,Male,2003-03-18,Notset,,,50,Spilman Street,GOWKHALL,,United Kingdom,KY12 0PF,2026-04-06,Existing employee,,,,,,First Job,,,,,,,AB124557C,A,1257L,No,Monthly,3500.00,Other,,,,No,No,No,,,,Yes,2026-04-06,Plan4,Yes,2026-04-06,,
,Conall,Ferguson,Male,1962-01-22,Notset,,,20,Bullwood Rd,ST ABBS,,United Kingdom,TD14 1XZ,2026-04-06,Existing employee,,,,,,First Job,,,,,,,AB124557C,A,1257L,No,Monthly,3500.00,Other,,,,No,No,No,,,,Yes,2026-04-06,Plan4,Yes,2026-04-06,,
,Carson,Sinclair,Male,1948-06-05,Notset,,,22,Buckingham Rd,THORNWOOD COMMON,,United Kingdom,CM16 2ZB,2026-04-06,Existing employee,,,,,,First Job,,,,,,,AB124557C,A,1257L,No,Monthly,3500.00,Other,,,,No,No,No,,,,Yes,2026-04-06,Plan4,Yes,2026-04-06,,
,Filip,Watson,Male,1969-11-09,Notset,,,66,Nenthead Road,HIGH ENTERCOMMON,,United Kingdom,DL6 5WW,2026-04-06,Existing employee,,,,,,First Job,,,,,,,AB124557C,A,1257L,No,Monthly,3500.00,Other,,,,No,No,No,,,,Yes,2026-04-06,Plan4,Yes,2026-04-06,,
,Lukasz,Cameron,Male,1947-12-26,Notset,,,80,Scrimshire Lane,ASHWELLTHORPE,,United Kingdom,NR16 4SE,2026-04-06,Existing employee,,,,,,First Job,,,,,,,AB124557C,A,1257L,No,Monthly,3500.00,Other,,,,No,No,No,,,,Yes,2026-04-06,Plan4,Yes,2026-04-06,,
,John,Stewart,Male,1990-03-18,Notset,,,89,Folkestone Road,WINGFIELD,,United Kingdom,LU7 1BD,2026-04-06,Existing employee,,,,,,First Job,,,,,,,AB124557C,A,1257L,No,Monthly,3500.00,Other,,,,No,No,No,,,,Yes,2026-04-06,Plan4,Yes,2026-04-06,,
,Musa,Kennedy,Male,1994-01-12,Notset,,,24,Southern Way,NORTH NEWINGTON,,United Kingdom,OX15 9NJ,2026-04-06,Existing employee,,,,,,First Job,,,,,,,AB124557C,A,1257L,No,Monthly,3500.00,Other,,,,No,No,No,,,,Yes,2026-04-06,Plan4,Yes,2026-04-06,,
,Lauchlan,Duncan,Male,1988-02-21,Notset,,,79,Shore Street,STOBO,,United Kingdom,EH45 0RP,2026-04-06,Existing employee,,,,,,First Job,,,,,,,AB124557C,A,1257L,No,Monthly,3500.00,Other,,,,No,No,No,,,,Yes,2026-04-06,Plan4,Yes,2026-04-06,,
,Raymond,Johnston,Male,1989-01-22,Notset,,,99,Davids Lane,STROUL,,United Kingdom,G84 7PB,2026-04-06,Existing employee,,,,,,First Job,,,,,,,AB124557C,A,1257L,No,Monthly,3500.00,Other,,,,No,No,No,,,,Yes,2026-04-06,Plan4,Yes,2026-04-06,,
,Kobe,Hill,Male,1942-12-21,Notset,,,75,South Western,MILTON,,United Kingdom,OX15 6HJ,2026-04-06,Existing employee,,,,,,First Job,,,,,,,AB124557C,A,1257L,No,Monthly,3500.00,Other,,,,No,No,No,,,,Yes,2026-04-06,Plan4,Yes,2026-04-06,,
,Gerard,Wright,Male,1959-09-18,Notset,,,63,Emerson Road,KINMEL BAY,,United Kingdom,LL22 7TG,2026-04-06,Existing employee,,,,,,First Job,,,,,,,AB124557C,A,1257L,No,Monthly,3500.00,Other,,,,No,No,No,,,,Yes,2026-04-06,Plan4,Yes,2026-04-06,,
,Haiden,Grant,Male,1979-05-10,Notset,,,37,Rhosddu Rd,FINNINGLY,,United Kingdom,DN9 5WH,2026-04-06,Existing employee,,,,,,First Job,,,,,,,AB124557C,A,1257L,No,Monthly,3500.00,Other,,,,No,No,No,,,,Yes,2026-04-06,Plan4,Yes,2026-04-06,,
,Jacob,Reilly,Male,1947-11-30,Notset,,,72,Constitution St,LLANLLAWDDOG,,United Kingdom,SA32 4ZS,2026-04-06,Existing employee,,,,,,First Job,,,,,,,AB124557C,A,1257L,No,Monthly,3500.00,Other,,,,No,No,No,,,,Yes,2026-04-06,Plan4,Yes,2026-04-06,,
,Aaran,Kerr,Male,1989-02-18,Notset,,,42,Graham Road,CHESHAM,,United Kingdom,HP5 0ZR,2026-04-06,Existing employee,,,,,,First Job,,,,,,,AB124557C,A,1257L,No,Monthly,3500.00,Other,,,,No,No,No,,,,Yes,2026-04-06,Plan4,Yes,2026-04-06,,
,McKenzie,Moore,Male,1986-09-21,Notset,,,55,Nenthead Road,HIGHCLIFFE,,United Kingdom,BH23 7JN,2026-04-06,Existing employee,,,,,,First Job,,,,,,,AB124557C,A,1257L,No,Monthly,3500.00,Other,,,,No,No,No,,,,Yes,2026-04-06,Plan4,Yes,2026-04-06,,
,Shay,Jamieson,Male,1969-05-22,Notset,,,41,York Road,OWMBY,,United Kingdom,DN38 8RH,2026-04-06,Existing employee,,,,,,First Job,,,,,,,AB124557C,A,1257L,No,Monthly,3500.00,Other,,,,No,No,No,,,,Yes,2026-04-06,Plan4,Yes,2026-04-06,,
,Ayden,Millar,Male,1959-04-22,Notset,,,8,Prestwick Road,INVER MALLIE,,United Kingdom,PH34 0TR,2026-04-06,Existing employee,,,,,,First Job,,,,,,,AB124557C,A,1257L,No,Monthly,3500.00,Other,,,,No,No,No,,,,Yes,2026-04-06,Plan4,Yes,2026-04-06,,
,Archie,King,Male,1992-05-15,Notset,,,66,Temple Way,WIVELSFIELD,,United Kingdom,RH17 3RE,2026-04-06,Existing employee,,,,,,First Job,,,,,,,AB124557C,A,1257L,No,Monthly,3500.00,Other,,,,No,No,No,,,,Yes,2026-04-06,Plan4,Yes,2026-04-06,,
,Anthony,McLean,Male,1959-12-25,Notset,,,84,Cunnery Rd,MAGHAM DOWN,,United Kingdom,BN27 2LW,2026-04-06,Existing employee,,,,,,First Job,,,,,,,AB124557C,A,1257L,No,Monthly,3500.00,Other,,,,No,No,No,,,,Yes,2026-04-06,Plan4,Yes,2026-04-06,,
,Syed,Stewart,Male,1947-06-26,Notset,,,91,Main Road,ATTERBY,,United Kingdom,LN2 0DZ,2026-04-06,Existing employee,,,,,,First Job,,,,,,,AB124557C,A,1257L,No,Monthly,3500.00,Other,,,,No,No,No,,,,Yes,2026-04-06,Plan4,Yes,2026-04-06,,
,Eric,Bruce,Male,1958-04-16,Notset,,,40,Manor Way,GREAT HENNY,,United Kingdom,CO10 4TU,2026-04-06,Existing employee,,,,,,First Job,,,,,,,AB124557C,A,1257L,No,Monthly,3500.00,Other,,,,No,No,No,,,,Yes,2026-04-06,Plan4,Yes,2026-04-06,,
Mr,Jos,Buttler,Male,2000-01-01,Single,yash.verma@actingoffice.co.uk,+447474885022,5465,Bishopgate,London,London,United Kingdom,EC2M 4NJ,2024-04-06,Existing employee,,,,,,Only job,,,,,,,AA656475C,H,1257L,No,Monthly,55000.00,Other,,,,No,No,No,,,,No,,,No,,,
Mr,Jofra,Archer,Male,1996-01-01,Notset,,+449413570892,546,Bishopgate,Los Angles,London,United Kingdom,CA11 8ZY,2024-04-06,Existing employee,,,,,,Only job,,,,,,,,A,1257L,No,Monthly,5200.00,Other,,,,No,No,Yes,Alternative,2024-04-06,,Yes,2024-04-06,Plan1,No,,,
Mr,JAmes,Read,Male,1990-01-01,Notset,tushar.kriplani@actingoffice.co.uk,+449413570892,401,Belmont Road,London,Rajasthan,United Kingdom,AB2N 4AK,2024-04-06,New starter without form P45,,,,,,Other/Pension,,,,,,,BA565245D,A,1257L,No,Monthly,6000.00,Other,,,,No,No,Yes,Annual,2024-05-06,,No,,,No,,,
Mr,Joseff Connor,Portman,Male,1991-03-05,Married,,,27,Berwick Road,Bristol,England,United Kingdom,BS5 6NG,2023-12-06,New starter with form P45,8 Month(s),2023-11-20,8 Month(s),18358.07,1994.20,Other/Pension,,,,,,,JP123543D,A,1257L,No,Monthly,0.00,Other,,,,No,No,Yes,Alternative,2021-01-27,,No,,,No,,,
Mr,Mercal,Gerard,Male,1994-04-06,Notset,,,42-44,Bishopgate,London,,United Kingdom,EC2N4AH,2025-04-06,Existing employee,,,,,,Only job,,,,,,,AB946276C,A,D0,No,Monthly,1000.00,Other,,,,No,No,No,,,,No,,,No,,,
Mr,Marcus,Stonis,Male,2000-01-01,Single,yash.verma@actingoffice.co.uk,,546,Bishopgate,Los Angles,London,United Kingdom,CA11 8ZY,2024-04-06,Existing employee,,,,,,Only job,,,,,,,AB458214C,A,1257L,No,Monthly,5000.00,Other,,,,No,No,No,,,,No,,,No,,,
Mr,MERCURY,Rao,Male,2015-02-21,Single,,,1,Street,City,County,United Kingdom,PH2 3ZT,2025-04-03,Existing employee,,,,,,Only job,,,,,,,,M,1257L,No,Monthly,5000.00,Other,,,,No,No,No,,,,No,,,Yes,2025-06-05,,
Mrs,Sayani,Ross,Female,1999-01-01,Single,,,45,421-12,Los Angles,London,United Kingdom,SP8 1XT,2014-10-10,Existing employee,,,,,,Only job,,,,,,,,A,1533L,No,Monthly,0.00,Other,,,,No,No,Yes,Annual,2014-10-10,,No,,,No,,,
Mr,Tushar,Kriplani,Female,1930-01-01,Married,pallav.capsitech@gmail.com,+445611441488,465,421-12,Los Angles,London,United Kingdom,SP8 1XT,2025-04-06,Existing employee,,,,,,Only job,,,,,,,,C,1257L,Yes,Monthly,35000.00,Other,,,,No,No,Yes,Annual,2025-04-06,,No,,,No,,,
Mr,Hydrax,Raina,Male,2013-02-05,Single,,,1,London,London,County,United Kingdom,PH2 3ZT,2026-04-06,Existing employee,,,,,,Only job,,,,,,,,M,1257L,No,Monthly,5000.00,Cash,,,,No,No,No,,,,Yes,2026-04-06,Plan1,Yes,2026-04-06,,
Mr,Adam,Wills,Male,1994-02-01,Notset,adam@adam.com,,42-44,Bishopgate,London,,Welsh,Q234FDSE,2026-04-06,New starter without form P45,,,,,,Other/Pension,,,,,,,AB414774C,I,1257L,No,Monthly,1500.00,Bacs,Adam,000000,14514411,No,No,Yes,Annual,2026-04-06,,No,,,No,,,
Mr,Alen,Jones,Male,1994-02-01,Single,,,42-44,Bishopgate,London,,United Kingdom,EC2N 4AH,2026-04-06,Existing employee,,,,,,Only job,,,,,,,AB545651C,A,1257L,No,Monthly,5420.00,Other,,,,No,No,No,,,,No,,,No,,,
,Meracal,Adam,Male,1901-06-25,Notset,rscs.ad91gmail.com,,vhbxfh,4 Str,Uk,Lundan,United Kingdom,EC1A 1BB,2001-06-25,Existing employee,,,,,,Only job,,,,,,,,C,1257L,Yes,Monthly,0.00,Other,,,,No,No,No,,,,No,,,No,,,
Mr,Faisal,Yaqub,Male,1982-12-12,Single,,,42-44,Bishopgate,London,,United Kingdom,EC2N 4AH,2024-04-06,Existing employee,,,,,,Only job,,,,,,,PW862728A,A,1257L,No,Annual,4712.00,Other,,,,No,No,Yes,Annual,2024-04-06,,No,,,No,,,
Mr,Alen,Soly,Male,1994-02-01,Single,,,42-44,Bishopgate,London,,United Kingdom,EC2N 4AH,2026-04-06,New starter without form P45,,,,,,First Job,,,,,,,AB135104C,A,1257L,Yes,Monthly,0.00,0,,,,No,No,Yes,Annual,2026-05-06,,No,,,No,,,
Mr,Declan,Boyle,Male,2001-06-05,Single,,,142,Kingsway,Dundee,,Scotland,DD2 3LH,2024-05-13,New starter with form P45,1257L,2024-01-15,31 Month(s),6420.00,384.00,Only job,,,,,,,,A,1257L,No,Monthly,2900.00,Other,,,,No,No,No,,,,No,,,No,,,
Mr,Jonathan Tobias,Tuffin,Male,1994-02-01,Single,payroll.capsitech@gmail.com,,42-44,Bishopgate,London,,United Kingdom,EC2N 4AH,2026-04-06,New starter without form P45,,,,,,Other/Pension,,,,,,,AB115614C,A,1257L,No,Monthly,5000.00,Cash,,,,No,No,No,,,,No,,,No,,,
Mr,Tim,John,Male,2000-01-01,Married,,,RETE,5453444,Hayes,AL,United Kingdom,UB4 8HZ,2025-04-06,Existing employee,,,,,,First Job,,,,,,,,L,1257L,Yes,Monthly,12323131.00,Cheque,,,,No,No,No,,,,Yes,2025-01-01,Plan1,No,,,
Mr,Swiss,Moris,Female,1999-01-01,Divorced,rahul.mahto@capsitech.com,,ghhg,5453444,Hayes,AL,United Kingdom,UB4 8HZ,2025-04-06,Existing employee,,,,,,First Job,,,,,,,AB123455B,N,1257L,No,Monthly,27000.00,0,,,,No,No,No,,,,Yes,2025-07-15,Plan4,Yes,2025-08-15,,
,Kalvin,Herry,Male,2000-01-01,Single,rahul.mahto@capsitech.com,,dfdsfsd,5453444,Hayes,AL,United Kingdom,UB4 8HZ,2000-01-01,Existing employee,,,,,,Only job,,,,,,,,H,BR,No,Annual,50000.00,Cheque,,,,No,No,No,,,,No,,,No,,,
,SS,JOHN,Male,2000-01-01,Single,rahul.mahto@capsitech.com,,SDFG,H,Hayes,AL,United Kingdom,UB4 8HZ,2020-01-01,New starter without form P45,,,,,,Other/Pension,,,,,,,,H,1257L,No,Annual,50000.00,Cheque,,,,No,No,No,,,,No,,,No,,,
Mr,Funnel,Henry,Male,2000-01-01,Single,negiro7411@deapad.com,,fr,Df2,Ete,London,United Kingdom,EC1Y 8SY,2020-01-01,New starter without form P45,,,,,,First Job,,,,,,,AB123353C,H,1257L,Yes,Monthly,25000.00,Cheque,,,,No,No,No,,,,Yes,2023-01-01,Plan1,Yes,2025-01-01,,
Mr,Manuel,John,Male,2000-01-01,Single,rahul.mahto@capsitech.com,,frh,Sdtegt,Etet,AL,United Kingdom,EC1Y 8SY,2010-01-01,New starter without form P45,,,,,,First Job,,,,,,,,H,1257L,Yes,Weekly,47000.00,Cheque,,,,No,No,No,,,,No,,,No,,,
Mr,Nick,Jhonson,Male,1999-04-01,Married,rahul.mahto@capsitech.com,,201,Featherstone Street,LONDON,England,United Kingdom,L1 8JQ,2024-04-01,Existing employee,,,,,,Other/Pension,,,,,,,AB123458C,A,1257L,No,Monthly,5000.00,Other,,,,No,No,No,,,,No,,,Yes,2024-04-01,,
Mr,Glen,Phillips,Male,1999-01-01,Single,rahul.mahto@capsitech.com,,5,421-12,Los Angles,London,United Kingdom,SP8 1XT,2024-04-06,Existing employee,,,,,,Other/Pension,,,,,,,,A,1257L,No,Monthly,5000.00,Other,,,,No,No,No,,,,No,,,No,,,
Mrs,Marry,Ross,Female,1999-01-01,Single,,,45,Bishopsgate,Los Angles,London,United Kingdom,SP8 1XT,2022-04-06,Existing employee,,,,,,Only job,,,,,,,,A,1257L,No,Monthly,5000.00,Cheque,,,,No,No,No,,,,No,,,No,,,
Mr,Ram,ji,Male,1990-01-01,Married,abcv@gmail.com,3643463636,RETE,5453444,Hayes,AL,United Kingdom,UB4 8HZ,2025-04-06,Existing employee,,,,,,Only job,,,,,,,,A,1257L,Yes,Monthly,0.00,Cheque,,,,No,No,No,,,,Yes,2025-01-01,Plan4,No,,,
Miss,Avanya,Rax,Female,2004-06-15,Single,,,1,Street,City,County,United Kingdom,PH2 3ZT,2026-04-06,Existing employee,,,,,,Only job,,,,,,,,A,1257L,No,Monthly,5000.00,Cash,,,,No,No,No,,,,Yes,2026-06-07,Plan1,Yes,2026-06-09,,
Mrs,Georgina,Bell,Female,2000-01-01,Single,,,21,Hh,Jj,,United Kingdom,CA7 8UY,2021-01-01,New starter without form P45,,,,,,Other/Pension,,,,,,,,A,1257L,No,Monthly,5000.00,Cheque,,,,No,No,No,,,,No,,,No,,,
,James,Bond,Male,2000-01-01,Single,cnitinchouhan@zohomail.in,,21,HH,H,,United Kingdom,CA7 8UY,2021-01-01,New starter without form P45,,,,,,Other/Pension,,,,,,,,A,1257L,No,Monthly,0.00,Cheque,,,,No,No,No,,,,No,,,No,,,
Mr,Hydrax,Raina,Male,2015-05-13,Single,,,1,Street,City,County,United Kingdom,PH2 3ZT,2026-04-06,Existing employee,,,,,,Only job,,,,,,,,M,1257L,No,Monthly,5000.00,Cheque,,,,No,No,No,,,,Yes,2026-05-05,Plan4,Yes,2026-06-17,,
Mr,Poppy,Lawson,Male,1999-04-06,Single,,,75,Ploughley Rd,TOFT,,United Kingdom,PE10 5LB,2026-04-06,Existing employee,,,,,,Only job,,,,,,,QQ123456C,A,1257L,No,Monthly,2000.00,Other,,,,No,No,No,,,,Yes,2026-04-06,Plan4,No,,,
Mr,Tim,John,Male,2000-01-01,Married,,,RETE,5453444,Hayes,AL,United Kingdom,UB4 8HZ,2025-04-06,Existing employee,,,,,,First Job,,,,,,,,L,1257L,Yes,Monthly,12323131.00,Cheque,,,,No,No,No,,,,Yes,2025-01-01,Plan1,No,,,
,Kalvin,Herry,Male,2000-01-01,Single,rahul.mahto@capsitech.com,,dfdsfsd,5453444,Hayes,AL,United Kingdom,UB4 8HZ,2000-01-01,Existing employee,,,,,,Only job,,,,,,,,H,BR,No,Annual,50000.00,Cheque,,,,No,No,No,,,,No,,,No,,,
,SS,JOHN,Male,2000-01-01,Single,rahul.mahto@capsitech.com,,SDFG,H,Hayes,AL,United Kingdom,UB4 8HZ,2020-01-01,New starter without form P45,,,,,,Other/Pension,,,,,,,,H,1257L,No,Annual,50000.00,Cheque,,,,No,No,No,,,,No,,,No,,,
Mr,Manuel,John,Male,2000-01-01,Single,rahul.mahto@capsitech.com,,frh,Sdtegt,Etet,AL,United Kingdom,EC1Y 8SY,2010-01-01,New starter without form P45,,,,,,First Job,,,,,,,,H,1257L,Yes,Weekly,47000.00,Cheque,,,,No,No,No,,,,No,,,No,,,
Mr,Glen,Phillips,Male,1999-01-01,Single,rahul.mahto@capsitech.com,,5,421-12,Los Angles,London,United Kingdom,SP8 1XT,2024-04-06,Existing employee,,,,,,Other/Pension,,,,,,,,A,1257L,No,Monthly,5000.00,Other,,,,No,No,No,,,,No,,,No,,,
Mrs,Marry,Ross,Female,1999-01-01,Single,,,45,Bishopsgate,Los Angles,London,United Kingdom,SP8 1XT,2022-04-06,Existing employee,,,,,,Only job,,,,,,,,A,1257L,No,Monthly,5000.00,Cheque,,,,No,No,No,,,,No,,,No,,,
Mr,Ram,ji,Male,1990-01-01,Married,abcv@gmail.com,3643463636,RETE,5453444,Hayes,AL,United Kingdom,UB4 8HZ,2025-04-06,Existing employee,,,,,,Only job,,,,,,,,A,1257L,Yes,Monthly,0.00,Cheque,,,,No,No,No,,,,Yes,2025-01-01,Plan4,No,,,
Miss,Avanya,Rax,Female,2004-06-15,Single,,,1,Street,City,County,United Kingdom,PH2 3ZT,2026-04-06,Existing employee,,,,,,Only job,,,,,,,,A,1257L,No,Monthly,5000.00,Cash,,,,No,No,No,,,,Yes,2026-06-07,Plan1,Yes,2026-06-09,,
Mrs,Georgina,Bell,Female,2000-01-01,Single,,,21,Hh,Jj,,United Kingdom,CA7 8UY,2021-01-01,New starter without form P45,,,,,,Other/Pension,,,,,,,,A,1257L,No,Monthly,5000.00,Cheque,,,,No,No,No,,,,No,,,No,,,
,James,Bond,Male,2000-01-01,Single,cnitinchouhan@zohomail.in,,21,HH,H,,United Kingdom,CA7 8UY,2021-01-01,New starter without form P45,,,,,,Other/Pension,,,,,,,,A,1257L,No,Monthly,0.00,Cheque,,,,No,No,No,,,,No,,,No,,,
Mr,Hydrax,Raina,Male,2015-05-13,Single,,,1,Street,City,County,United Kingdom,PH2 3ZT,2026-04-06,Existing employee,,,,,,Only job,,,,,,,,M,1257L,No,Monthly,5000.00,Cheque,,,,No,No,No,,,,Yes,2026-05-05,Plan4,Yes,2026-06-17,,
